,id,name,party,constituency,start_date
346,4410,Julian Knight MP,Independent,Solihull,2015-05-07
347,4773,Kate Kniveton MP,Conservative,Burton,2019-12-12
348,4858,Danny Kruger MP,Conservative,Devizes,2019-12-12
349,4134,Rt Hon Kwasi Kwarteng MP,Conservative,Spelthorne,2010-05-06
350,4505,Peter Kyle MP,Labour,Hove,2015-05-07
351,36,Rt Hon Dame Eleanor Laing MP,Conservative,Epping Forest,1997-05-01
352,4630,Ben Lake MP,Plaid Cymru,Ceredigion,2017-06-08
353,206,Rt Hon David Lammy MP,Labour,Tottenham,2000-06-22
354,4608,John Lamont MP,Conservative,"Berwickshire, Roxburgh and Selkirk",2017-06-08
355,4852,Robert Largan MP,Conservative,High Peak,2019-12-12
356,4025,Mrs Pauline Latham MP,Conservative,Mid Derbyshire,2010-05-06
357,4139,Ian Lavery MP,Labour,Wansbeck,2010-05-06
358,4403,Chris Law MP,Scottish National Party,Dundee West,2015-05-07
359,4923,Kim Leadbeater MP,Labour,Batley and Spen,2021-07-01
360,4117,Rt Hon Andrea Leadsom MP,Conservative,South Northamptonshire,2010-05-06
361,345,Rt Hon Sir Edward Leigh MP,Conservative,Gainsborough,1983-06-09
362,4749,Ian Levy MP,Conservative,Blyth Valley,2019-12-12
363,4277,Mrs Emma Lewell-Buck MP,Labour,South Shields,2013-05-02
364,4659,Andrew Lewer MP,Conservative,Northampton South,2017-06-08
365,4009,Rt Hon Sir Brandon Lewis MP,Conservative,Great Yarmouth,2010-05-06
366,4500,Clive Lewis MP,Labour,Norwich South,2015-05-07
367,54,Rt Hon Sir Julian Lewis MP,Conservative,New Forest East,1997-05-01
368,1396,Mr Ian Liddell-Grainger MP,Conservative,Bridgwater and West Somerset,2001-06-07
369,4943,Simon Lightwood MP,Labour (Co-op),Wakefield,2022-06-23
370,4640,David Linden MP,Scottish National Party,Glasgow East,2017-06-08
371,450,Tony Lloyd MP,Labour,Rochdale,2017-06-08
372,4857,Carla Lockhart MP,Democratic Unionist Party,Upper Bann,2019-12-12
373,4751,Chris Loder MP,Conservative,West Dorset,2019-12-12
374,4815,Mark Logan MP,Conservative,Bolton North East,2019-12-12
375,4396,Rebecca Long Bailey MP,Labour,Salford and Eccles,2015-05-07
376,4789,Marco Longhi MP,Conservative,Dudley North,2019-12-12
377,4647,Julia Lopez MP,Conservative,Hornchurch and Upminster,2017-06-08
378,3989,Jack Lopresti MP,Conservative,Filton and Bradley Stoke,2010-05-06
379,4090,Mr Jonathan Lord MP,Conservative,Woking,2010-05-06
380,114,Tim Loughton MP,Conservative,East Worthing and Shoreham,1997-05-01
381,3930,Caroline Lucas MP,Green Party,"Brighton, Pavilion",2010-05-06
382,4472,Holly Lynch MP,Labour,Halifax,2015-05-07
383,4772,Kenny MacAskill MP,Alba Party,East Lothian,2019-12-12
384,4529,Craig Mackinlay MP,Conservative,South Thanet,2015-05-07
385,4758,Cherilyn Mackrory MP,Conservative,Truro and Falmouth,2019-12-12
386,4668,Rachel Maclean MP,Conservative,Redditch,2017-06-08
387,1546,Angus Brendan MacNeil MP,Independent,Na h-Eileanan an Iar,2005-05-05
388,4418,Justin Madders MP,Labour,Ellesmere Port and Neston,2015-05-07
389,1392,Mr Khalid Mahmood MP,Labour,"Birmingham, Perry Barr",2001-06-07
390,3914,Shabana Mahmood MP,Labour,"Birmingham, Ladywood",2010-05-06
391,4484,Alan Mak MP,Conservative,Havant,2015-05-07
392,4253,Seema Malhotra MP,Labour (Co-op),Feltham and Heston,2011-12-15
393,4495,Rt Hon Kit Malthouse MP,Conservative,North West Hampshire,2015-05-07
394,4762,Anthony Mangnall MP,Conservative,Totnes,2019-12-12
395,4496,Scott Mann MP,Conservative,North Cornwall,2015-05-07
396,4768,Julie Marson MP,Conservative,Hertford and Stortford,2019-12-12
397,4471,Rachael Maskell MP,Labour (Co-op),York Central,2015-05-07
398,4245,Paul Maskey MP,Sinn Féin,Belfast West,2011-06-09
399,4993,Keir Mather MP,Labour,Selby and Ainsty,2023-07-20
400,8,Rt Hon Theresa May MP,Conservative,Maidenhead,1997-05-01
401,4739,Jerome Mayhew MP,Conservative,Broadland,2019-12-12
402,3926,Paul Maynard MP,Conservative,Blackpool North and Cleveleys,2010-05-06
403,298,Steve McCabe MP,Labour,"Birmingham, Selly Oak",1997-05-01
404,1491,Kerry McCarthy MP,Labour,Bristol East,2005-05-05
405,3953,Jason McCartney MP,Conservative,Colne Valley,2019-12-12
406,4028,Karl McCartney MP,Conservative,Lincoln,2019-12-12
407,193,Siobhain McDonagh MP,Labour,Mitcham and Morden,1997-05-01
408,4269,Andy McDonald MP,Independent,Middlesbrough,2012-11-29
409,4461,Stewart Malcolm McDonald MP,Scottish National Party,Glasgow South,2015-05-07
410,4393,Stuart C McDonald MP,Scottish National Party,"Cumbernauld, Kilsyth and Kirkintilloch East",2015-05-07
411,178,Rt Hon John McDonnell MP,Labour,Hayes and Harlington,1997-05-01
412,1587,Rt Hon Pat McFadden MP,Labour,Wolverhampton South East,2005-05-05
413,4458,Conor McGinn MP,Independent,St Helens North,2015-05-07
414,4083,Alison McGovern MP,Labour,Wirral South,2010-05-06
415,4125,Catherine McKinnell MP,Labour,Newcastle upon Tyne North,2010-05-06
416,4437,Anne McLaughlin MP,Scottish National Party,Glasgow North East,2019-12-12
417,4569,Jim McMahon MP,Labour (Co-op),Oldham West and Royton,2015-12-03
418,4632,Anna McMorrin MP,Labour,Cardiff North,2017-06-08
419,4424,John McNally MP,Scottish National Party,Falkirk,2015-05-07
420,4093,Rt Hon Stephen McPartland MP,Conservative,Stevenage,2010-05-06
421,4084,Rt Hon Esther McVey MP,Conservative,Tatton,2017-06-08
422,4000,Ian Mearns MP,Labour,Gateshead,2010-05-06
423,3998,Mark Menzies MP,Conservative,Fylde,2010-05-06
424,4485,Rt Hon Johnny Mercer MP,Conservative,"Plymouth, Moor View",2015-05-07
425,4442,Huw Merriman MP,Conservative,Bexhill and Battle,2015-05-07
426,4092,Stephen Metcalfe MP,Conservative,South Basildon and East Thurrock,2010-05-06
427,1510,Rt Hon Edward Miliband MP,Labour,Doncaster North,2005-05-05
428,4746,Robin Millar MP,Conservative,Aberconwy,2019-12-12
429,1480,Rt Hon Dame Maria Miller MP,Conservative,Basingstoke,2005-05-05
430,4454,Rt Hon Dame Amanda Milling MP,Conservative,Cannock Chase,2015-05-07
431,4136,Nigel Mills MP,Conservative,Amber Valley,2010-05-06
432,4811,Navendu Mishra MP,Labour,Stockport,2019-12-12
433,1211,Rt Hon Andrew Mitchell MP,Conservative,Sutton Coldfield,2001-06-07
434,4804,Mr Gagan Mohindra MP,Conservative,South West Hertfordshire,2019-12-12
435,4274,Francie Molloy MP,Sinn Féin,Mid Ulster,2013-03-07
436,4443,Carol Monaghan MP,Scottish National Party,Glasgow North West,2015-05-07
437,4669,Damien Moore MP,Conservative,Southport,2017-06-08
438,4861,Robbie Moore MP,Conservative,Keighley,2019-12-12
439,4656,Layla Moran MP,Liberal Democrat,Oxford West and Abingdon,2017-06-08
440,4017,Rt Hon Penny Mordaunt MP,Conservative,Portsmouth North,2010-05-06
441,1548,Jessica Morden MP,Labour,Newport East,2005-05-05
442,4934,Helen Morgan MP,Liberal Democrat,North Shropshire,2021-12-16
443,4653,Stephen Morgan MP,Labour,Portsmouth South,2017-06-08
444,4249,Anne Marie Morris MP,Conservative,Newton Abbot,2010-05-06
445,4135,David Morris MP,Conservative,Morecambe and Lunesdale,2010-05-06
446,3973,Grahame Morris MP,Labour,Easington,2010-05-06
447,3992,James Morris MP,Conservative,Halesowen and Rowley Regis,2010-05-06
448,4759,Joy Morrissey MP,Conservative,Beaconsfield,2019-12-12
449,4916,Jill Mortimer MP,Conservative,Hartlepool,2021-05-06
450,4358,Rt Hon Wendy Morton MP,Conservative,Aldridge-Brownhills,2015-05-07
451,4860,Dr Kieran Mullan MP,Conservative,Crewe and Nantwich,2019-12-12
452,4867,Holly Mumby-Croft MP,Conservative,Scunthorpe,2019-12-12
453,1512,Rt Hon David Mundell MP,Conservative,"Dumfriesshire, Clydesdale and Tweeddale",2005-05-05
454,3966,Ian Murray MP,Labour,Edinburgh South,2010-05-06
455,4797,James Murray MP,Labour (Co-op),Ealing North,2019-12-12
456,4100,Mrs Sheryll Murray MP,Conservative,South East Cornwall,2010-05-06
457,1466,Rt Hon Dr Andrew Murrison MP,Conservative,South West Wiltshire,2001-06-07
458,4082,Lisa Nandy MP,Labour,Wigan,2010-05-06
459,1601,Sir Robert Neill MP,Conservative,Bromley and Chislehurst,2006-06-29
460,4420,Gavin Newlands MP,Scottish National Party,Paisley and Renfrewshire North,2015-05-07
461,4799,Charlotte Nichols MP,Labour,Warrington North,2019-12-12
462,4851,Lia Nici MP,Conservative,Great Grimsby,2019-12-12
463,4415,John Nicolson MP,Scottish National Party,Ochil and South Perthshire,2019-12-12
464,4048,Rt Hon Caroline Nokes MP,Conservative,Romsey and Southampton North,2010-05-06
465,3991,Rt Hon Jesse Norman MP,Conservative,Hereford and South Herefordshire,2010-05-06
466,4641,Alex Norris MP,Labour (Co-op),Nottingham North,2017-06-08
467,4679,Neil O'Brien MP,Conservative,Harborough,2017-06-08
468,4006,Dr Matthew Offord MP,Conservative,Hendon,2010-05-06
469,4371,Brendan O'Hara MP,Scottish National Party,Argyll and Bute,2015-05-07
470,4591,Sarah Olney MP,Liberal Democrat,Richmond Park,2019-12-12
471,4124,Chi Onwurah MP,Labour,Newcastle upon Tyne Central,2010-05-06
472,4142,Guy Opperman MP,Conservative,Hexham,2010-05-06
473,4820,Abena Oppong-Asare MP,Labour,Erith and Thamesmead,2019-12-12
474,4515,Kate Osamor MP,Labour (Co-op),Edmonton,2015-05-07
475,4783,Kate Osborne MP,Labour,Jarrow,2019-12-12
476,4413,Kirsten Oswald MP,Scottish National Party,East Renfrewshire,2019-12-12
477,4779,Taiwo Owatemi MP,Labour,Coventry North West,2019-12-12
478,4777,Sarah Owen MP,Labour,Luton North,2019-12-12
479,4129,Ian Paisley MP,Democratic Unionist Party,North Antrim,2010-05-06
480,4066,Rt Hon Priti Patel MP,Conservative,Witham,2010-05-06
481,4052,Mark Pawsey MP,Conservative,Rugby,2010-05-06
482,4607,Stephanie Peacock MP,Labour,Barnsley East,2017-06-08
